Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
NFE2L1,315.25873810980346,-0.612965037613884,0.21556565890067325,-2.843518957239481,0.004461835503066565,0.09991834425567264
IL18BP,101.09092582191653,-0.6123722918580591,0.22620659778963623,-2.707137182742754,0.006786620713333564,0.12949714656110423
NADK,108.74866782386196,-0.6120898177204137,0.2715360348211633,-2.254175281463261,0.02418514318770879,0.27134373574426385
REEP5,347.47116345760793,-0.6109553958264646,0.16730104594074438,-3.651832493879663,0.00026037570475313245,0.013623489561312261
RHOG,943.001731063674,-0.6025768364889753,0.16360560324595477,-3.6831063517005447,0.00023040897434708018,0.012523734396913868
CDK2AP1,91.54630361264286,-0.602147578994574,0.24551487867884894,-2.452590988516937,0.014183150453608252,0.20345133318187392
TNFRSF1A,266.3890401425925,-0.6021035920509189,0.19705603659474813,-3.055494276935873,0.002246898909882092,0.06353163407563077
MMP9,255.24460869672657,-0.6003960927563168,0.5942195789341019,-1.0103943290345534,0.31230640375780483,0.781850433038786
ETV3,249.58605472333934,-0.6003088563954042,0.20979950570309777,-2.861345427786394,0.004218471525947427,0.0956158414494602
RSL24D1,127.41718263738204,-0.5997626893110347,0.2185089314663986,-2.7447971361448156,0.006054831356347808,0.12021241570066997
SDC2,609.5021929424101,-0.59975845671147,0.17290200299350697,-3.468776800312676,0.0005228336246023282,0.022242277082390377
LINC00877,101.60455222741074,-0.5991983994022451,0.27294149771973847,-2.1953363794373013,0.028139477128737142,0.29529308848216473
S100A12,197.62603496656928,-0.5984646012770897,0.34830095326750643,-1.7182399176997067,0.08575286331182347,0.5088366775317898
RAB32,157.82150139020683,-0.5970518055940711,0.19424297595795764,-3.07373691455025,0.0021139576345213986,0.06084828697618534
MB21D2,113.53244670556364,-0.5968216087380919,0.24360905069222386,-2.4499155800747214,0.014288971152883289,0.20429480988140114
ATP6AP1,472.6184138007217,-0.5962823363271575,0.16220386005965293,-3.6761291384056194,0.00023679968568178313,0.012721936834284532
ENO1,1266.7595626058346,-0.5959796591670985,0.12829945258097755,-4.645223710451451,3.3970813400440793e-06,0.0005140151319523454
CERS2,241.3757664398196,-0.5930892490288822,0.19795843915906505,-2.996029123831991,0.0027352030896243113,0.07211687829452801
PLAC8,181.07645756992983,-0.5920652138182723,0.19374286299009771,-3.0559330273163816,0.0022436136479177544,0.06353163407563077
AOAH,277.00212931648883,-0.5919567986801465,0.2249807404381379,-2.6311443260758343,0.008509788882846573,0.1495825841777599
PTGR3,103.27530406089765,-0.5912889625437562,0.23452245095625565,-2.521246729823946,0.011693982444848244,0.1818576686596747
C5AR1,5290.699970081337,-0.587159448471571,0.22547529567339733,-2.6040965894643993,0.009211679230316974,0.157230445643078
EPM2AIP1,132.80308902823052,-0.586805081259574,0.21025292073223834,-2.7909485357726993,0.005255382772304563,0.10917350816603745
PSMA1,236.69555198470212,-0.5859512752603223,0.18532342942277036,-3.1617765604996277,0.0015680983573415467,0.0494591473440938
DYNC1I2,296.70148653882427,-0.5840530877976998,0.19963179717126167,-2.925651604972768,0.003437356464112677,0.08330753317893863
ENSG00000265975,157.0856061780623,-0.5835147394426995,0.25514265055899493,-2.287013708465717,0.022195022962013373,0.2626772672816705
MAP7D1,687.6996216206026,-0.58287549666417,0.14562411275318687,-4.002602904452129,6.264940417026501e-05,0.0047079555603654856
SPIDR,105.34141319353836,-0.5796867159089986,0.2371804100802272,-2.444075021680405,0.014522406329443521,0.20505344725192826
SWAP70,429.28777148098396,-0.579337210099565,0.16093521097414423,-3.599816389420467,0.00031844195793041835,0.015806421924995612
MET,825.2494289799259,-0.5787201844924159,0.17922561693146571,-3.2290037239136042,0.0012422227722707158,0.04189508548528677
THBS1,37946.61173842821,-0.5777868076425631,0.14028369627577236,-4.118702479201423,3.810116979732361e-05,0.0032816830632356343
PCMT1,172.24750361921062,-0.5767812208487523,0.1913245725566877,-3.014674033456196,0.0025725557371497607,0.06940941346714669
SLC25A5,194.4945081647215,-0.5764862713310327,0.1835749535411329,-3.1403318383619347,0.0016875656090065496,0.051346935119691135
BCL3,593.0892289352928,-0.5759591773266702,0.19754935358294495,-2.915520435174912,0.0035509585160004783,0.0849574412471311
ZNF652,148.9333154685515,-0.5750187374755042,0.1892259346862846,-3.0387945417144904,0.0023752678592737953,0.06606603199686273
CASP4,740.0197984961638,-0.5712927733182329,0.18385202583798654,-3.1073509835658033,0.00188772129180654,0.05591750080517944
UCP2,231.74966690087376,-0.5685790211636228,0.24553147114667637,-2.315707304274503,0.020574255328185825,0.25149556431189596
YBX3,217.6740685072027,-0.5685185038085955,0.21053024927074632,-2.7004124384874917,0.0069253564015401585,0.13120679463290214
PSMB6,158.74259472351062,-0.5679877612805843,0.24055934161427028,-2.36111288578157,0.0182201834252757,0.23315587864321374
TFPI,170.5415306103075,-0.5672201531820357,0.24174647185651024,-2.34634304619226,0.018958649201898013,0.23905404855140996
HERC3,108.09940660980294,-0.5662872884844593,0.2879831825209527,-1.96639013267123,0.049253562366932825,0.3978504908886915
